time	angle	speed	accelerator position
131.67	1.6	56.2375	0
131.68	1.5	56.2375	0
131.69	1.4	56.85625	0
131.70	1.3	56.85625	0
131.71	1.2	56.85625	0
131.72	1.2	56.85625	0
131.73	1.1	56.16875	0
131.74	1.1	56.16875	0
131.75	1.1	56.03125	0
131.76	1.1	56.03125	0
131.77	1.1	56.375	0
131.78	1	56.375	0
131.79	0.9	56.5125	0
131.80	0.8	56.5125	0
131.81	0.8	56.5125	0
131.82	0.7	56.5125	0
131.83	0.7	56.5125	0
131.84	0.6	56.5125	0
131.85	0.6	56.30625	0
131.86	0.6	56.30625	0
131.87	0.5	55.9625	0
131.88	0.5	55.9625	0
131.89	0.4	55.9625	0
131.90	0.3	55.9625	0
131.91	0.1	56.44375	1
131.92	0	56.44375	1
131.93	-0.1	56.7875	1
131.94	-0.3	56.7875	1
131.95	-0.4	56.375	1
131.96	-0.5	56.375	1
131.97	-0.7	56.44375	1
131.98	-0.9	56.44375	1
131.99	-1.1	56.71875	1
132.00	-1.3	56.71875	1
132.01	-1.5	56.375	2
132.02	-1.5	56.375	2
132.03	-1.6	55.6875	2
132.04	-1.6	55.6875	2
132.05	-1.7	55.4125	2
132.06	-1.8	55.4125	2
132.07	-1.8	56.65	2
132.08	-1.9	56.65	2
132.09	-1.9	57.54375	2
132.10	-2	57.54375	2
132.11	-2.1	57.13125	11
132.12	-2.1	57.13125	11
132.13	-2.2	56.44375	11
132.14	-2.2	56.44375	11
132.15	-2.2	55.6875	11
132.16	-2.3	55.6875	11
132.17	-2.4	55.61875	11
132.18	-2.5	55.61875	11
132.19	-2.6	56.44375	11
132.20	-2.7	56.44375	11
132.21	-2.8	57.40625	12
132.22	-2.9	57.40625	12
132.23	-3.1	57.26875	12
132.24	-3.2	57.26875	12
132.25	-3.4	56.85625	12
132.26	-3.5	56.85625	12
132.27	-3.7	56.30625	12
132.28	-3.8	56.30625	12
132.29	-4	55.9625	12
132.30	-4	55.9625	12
132.31	-4.1	56.03125	13
132.32	-4.2	56.03125	13
132.33	-4.3	56.71875	13
132.34	-4.4	56.71875	13
132.35	-4.4	57.26875	13
132.36	-4.5	57.26875	13
132.37	-4.6	57.2	13
132.38	-4.6	57.2	13
132.39	-4.6	56.925	13
132.40	-4.6	56.925	13
132.41	-4.6	56.5125	13
132.42	-4.6	56.5125	13
132.43	-4.6	56.30625	13
132.44	-4.7	56.30625	13
132.45	-4.7	56.58125	13
132.46	-4.7	56.58125	13
132.47	-4.8	56.925	13
132.48	-4.9	56.925	13
132.49	-4.9	57.26875	13
132.50	-5	57.26875	13
132.51	-5.1	57.26875	14
132.52	-5.1	57.26875	14
132.53	-5.2	57.2	14
132.54	-5.3	57.2	14
132.55	-5.4	56.925	14
132.56	-5.4	56.925	14
132.57	-5.5	56.7875	14
132.58	-5.6	56.7875	14
132.59	-5.6	56.99375	14
132.60	-5.6	56.99375	14
132.61	-5.7	57.2	14
132.62	-5.7	57.2	14
132.63	-5.7	57.26875	14
132.64	-5.8	57.26875	14
132.65	-5.8	57.3375	14
132.66	-5.8	57.3375	14
132.67	-5.8	57.3375	14
132.68	-5.8	57.3375	14
132.69	-5.8	57.3375	14
132.70	-5.8	57.3375	14
132.71	-5.8	57.3375	14
